Name_of_HPP,Chronic_Condition,Important_Date_1,Important_Date_2
Selena Gomez, Lupus,nan,nan
Nick Cannon,Lupus,nan,nan
Charlie Sheen,HIV,nan,nan
Tom Hanks,Diabetes,nan,nan
Jack Osbourne,Multiple Sclerosis,nan,nan
Nick Jonas,Diabetes,nan,nan
Ben Stiller,Prostate Cancer,06/13/2014,nan
Michael J. Fox,Parkinson's Disease,nan,nan
Elisabeth Hasselbeck,Celiac Disease,nan,nan
Montel Williams,Multiple Sclerosis,nan,nan
Bret Michaels,Heart Disease,nan,nan
Jillian Michaels,Polycystic Ovary Syndrome,nan,nan
Selma Blair,Multiple Sclerosis,nan,nan
Lady Gaga,Fibromyalgia,nan,nan
Alex Trebek,Pancreatic Cancer,03/01/2019,11/08/2020
Chadwick Boseman, Colon Cancer,nan,nan
Steve Jobs,Pancreatic Cancer,10/01/2003,10/05/2011
Paul Allen,Non-Hodgkin Lymphoma,nan,nan
John McCain,Glioblastoma,nan,nan
Ruth Bader Ginsburg,Pancreatic Cancer,02/05/2009,09/18/2020
John Hurt,Pancreatic Cancer,06/16/2015,01/25/2017
Luciano Pavarotti,Pancreatic Cancer,07/01/2006,09/06/2007
Sharon Jones,Pancreatic Cancer,06/03/2013,11/18/2016
Alan Rickman,Pancreatic Cancer,08/01/2015,01/14/2016
